case_index,ref_mean_ms,ref_median_ms,ref_min_ms,ref_max_ms,ref_stdev_ms,tl_mean_ms,tl_median_ms,tl_min_ms,tl_max_ms,tl_stdev_ms,ac_mean_ms,ac_median_ms,ac_min_ms,ac_max_ms,ac_stdev_ms,ac_vs_ref_speedup,tl_vs_ref_speedup
79,128.9389,128.0426,125.9540,134.5403,3.0289,204.1520,203.8113,202.2497,207.9879,1.6341,242.9643,241.2943,240.0805,248.5576,2.9481,0.531,0.632
80,126.9112,126.7417,125.6532,130.5168,1.3299,206.1311,205.8939,203.8103,207.9445,1.3628,243.0427,241.5824,239.5029,248.9476,3.2254,0.522,0.616
81,3.4935,0.8983,0.7662,26.4017,8.0515,1.8043,1.8052,1.7647,1.8381,0.0232,1.6352,1.6304,1.6053,1.6972,0.0283,2.136,1.936
82,0.8220,0.7778,0.7105,1.0108,0.1140,1.3419,1.3405,1.3148,1.3765,0.0216,1.0977,1.0979,1.0674,1.1217,0.0147,0.749,0.613
83,2.6538,1.7763,0.8826,6.9357,2.2235,1.3480,1.3484,1.3331,1.3789,0.0141,1.1184,1.1195,1.0876,1.1377,0.0148,2.373,1.969
84,2.4512,0.8094,0.4859,17.8149,5.4012,1.0502,1.0438,1.0298,1.0848,0.0167,0.8470,0.8450,0.8163,0.8824,0.0225,2.894,2.334
85,0.6512,0.6320,0.4631,0.8727,0.1398,1.0297,1.0280,1.0150,1.0607,0.0124,0.8103,0.8139,0.7936,0.8234,0.0102,0.804,0.632
86,0.7034,0.7267,0.5257,0.8340,0.1009,1.0202,1.0225,0.9903,1.0446,0.0173,0.8700,0.8748,0.8450,0.8932,0.0166,0.809,0.689
87,0.2953,0.2988,0.2420,0.3390,0.0364,0.7620,0.7618,0.7447,0.7830,0.0120,0.5286,0.5281,0.5087,0.5666,0.0185,0.559,0.387
88,0.2534,0.2439,0.2374,0.3263,0.0269,0.7645,0.7634,0.7470,0.7906,0.0139,0.5255,0.5286,0.4948,0.5667,0.0242,0.482,0.331
89,0.2432,0.2423,0.2327,0.2598,0.0084,0.7714,0.7755,0.7433,0.8025,0.0203,0.5308,0.5336,0.5057,0.5623,0.0221,0.458,0.315
